Facility ID,Hospital Name,Detailed Region,Region,Procedure,Year of Hospital Discharge,Number of Cases,Number of Deaths,Observed Mortality Rate,Expected Mortality Rate,Risk-Adjusted Mortality Rate,Lower Limit of Confidence Interval,Upper Limit of Confidence Interval,Comparison Results
0977,Cayuga Med Ctr Ithaca,Central NY,Central NY,All PCI,2016,142,3,2.11,2.16,1.21,0.24,3.53,Rate not different than Statewide Rate
0636,Crouse Hospital,Central NY,Central NY,All PCI,2016,389,10,2.57,1.37,2.33,1.11,4.28,Rate not different than Statewide Rate
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2013-2015,1200,28,2.33,3.08,2.3,1.53,3.32,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,All PCI,2010,193,5,2.59,2.43,0.9,0.29,2.09,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,All PCI,2010,2740,13,0.47,0.57,0.71,0.38,1.21,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,All PCI,2010,2019,13,0.64,0.65,0.84,0.44,1.43,Rate not different than Statewide Rate
1304,Lutheran Medical Ctr,Kings,NY Metro - NYC,All PCI,2010,333,6,1.8,1.11,1.36,0.5,2.96,Rate not different than Statewide Rate
0829,Ellis Hospital,Capital District,Capital District,All PCI,2016,521,9,1.73,1.26,1.7,0.77,3.22,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,All PCI,2010,1179,9,0.76,1.38,0.46,0.21,0.88,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,1539,5,0.32,0.58,0.42,0.13,0.97,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,All PCI,2016,388,4,1.03,0.97,1.31,0.35,3.37,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,All PCI,2010,757,9,1.19,0.74,1.35,0.61,2.56,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,All PCI,2010,640,14,2.19,0.92,2,1.09,3.36,Rate significantly higher than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,All PCI,2010,4777,20,0.42,0.62,0.57,0.35,0.87,Rate not different than Statewide Rate
1637,NY Hospital - Queens,Queens,NY Metro - NYC,All PCI,2010,741,8,1.08,0.96,0.94,0.41,1.86,Rate not different than Statewide Rate
1306,NY Methodist Hospital,Kings,NY Metro - NYC,All PCI,2010,1453,10,0.69,0.69,0.84,0.4,1.55,Rate not different than Statewide Rate
1464,NYP- Columbia Presby.,Manhattan,NY Metro - NYC,All PCI,2010,2856,22,0.77,0.8,0.81,0.51,1.22,Rate not different than Statewide Rate
1458,NYP- Weill Cornell,Manhattan,NY Metro - NYC,All PCI,2010,1346,15,1.11,1.19,0.79,0.44,1.3,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,All PCI,2010,1186,4,0.34,0.61,0.46,0.12,1.19,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2015,232,2,0.86,1.17,0.55,0.06,1.98,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,All PCI,2016,235,3,1.28,1.53,1.03,0.21,3.02,Rate not different than Statewide Rate
0779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2016,513,6,1.17,1.61,0.9,0.33,1.96,Rate not different than Statewide Rate
0925,Good Sam-West Islip,NY Metro - Long Island,NY Metro - Long Island,All PCI,2016,1045,11,1.05,0.72,1.8,0.9,3.23,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2013-2015,444,12,2.7,2.5,3.28,1.69,5.74,Rate not different than Statewide Rate
0913,Huntington Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2016,559,9,1.61,0.96,2.07,0.95,3.93,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,All PCI,2016,301,3,1,1.29,0.96,0.19,2.8,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,All PCI,2016,1689,13,0.77,0.82,1.16,0.61,1.98,Rate not different than Statewide Rate
0885,Long Island Comm. Hosp.,NY Metro - Long Island,NY Metro - Long Island,All PCI,2016,389,6,1.54,0.91,2.09,0.76,4.55,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,All PCI,2016,692,6,0.87,0.99,1.08,0.4,2.36,Rate not different than Statewide Rate
1469,St. Lukes at St. Lukes,Manhattan,NY Metro - NYC,All PCI,2010,548,7,1.28,0.94,1.14,0.46,2.34,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,TAVR,2013-2015,115,7,6.09,5.24,5.52,2.21,11.38,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,All PCI,2010,1154,12,1.04,0.85,1.03,0.53,1.8,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,All PCI,2015,1856,15,0.81,0.8,1.15,0.65,1.9,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,All PCI,2016,1290,16,1.24,1.84,0.83,0.48,1.36,Rate not different than Statewide Rate
0213,Mercy Hospital-Buffalo,Western NY - Buffalo,Western NY - Buffalo,All PCI,2016,1113,23,2.07,1.16,2.2,1.39,3.29,Rate significantly higher than Statewide Rate
1302,Univ. Brooklyn @ LICH,Kings,NY Metro - NYC,All PCI,2010,177,1,0.56,0.98,0.48,0.01,2.7,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,All PCI,2010,570,5,0.88,0.82,0.9,0.29,2.1,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,All PCI,2015,427,2,0.47,0.89,0.6,0.07,2.16,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,All PCI,2016,978,11,1.12,1.13,1.23,0.62,2.21,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,All PCI,2016,639,4,0.63,1.24,0.63,0.17,1.6,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2010,1025,6,0.59,0.95,0.52,0.19,1.13,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2010,130,4,3.08,1.21,2.13,0.57,5.46,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,Valve or Valve/CABG,2013-2015,461,11,2.39,4.41,1.64,0.82,2.93,Rate significantly lower than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,All PCI,2016,1643,12,0.73,0.92,0.99,0.51,1.72,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,All PCI,2016,3479,36,1.03,0.92,1.39,0.97,1.92,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,366,0,0,0.5,0,0,1.03,Rate not different than Statewide Rate
1439,Beth Israel Med Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,1659,6,0.36,0.47,0.4,0.14,0.86,Rate not different than Statewide Rate
1178,Bronx-Lebanon-Cncourse,Bronx,NY Metro - NYC,Non-Emergency PCI,2010,5,0,0,0.45,0,0,82.45,Rate not different than Statewide Rate
1286,Brookdale Hosp Med Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2010,276,6,2.17,0.9,1.23,0.45,2.68,Rate not different than Statewide Rate
1469,Mount Sinai St. Lukes,Manhattan,NY Metro - NYC,All PCI,2016,708,7,0.99,1.71,0.71,0.29,1.47,Rate not different than Statewide Rate
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,All PCI,2016,1117,15,1.34,1.21,1.37,0.77,2.27,Rate not different than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,1591,5,0.31,0.54,0.43,0.14,1,Rate not different than Statewide Rate
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,All PCI,2016,2164,17,0.79,1.13,0.86,0.5,1.38,Rate not different than Statewide Rate
1122,NYP-Lawrence Hosp,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2016,242,2,0.83,1.08,0.94,0.11,3.4,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,Non-Emergency PCI,2010,281,1,0.36,0.3,0.61,0.01,3.41,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,All PCI,2016,660,2,0.3,0.91,0.41,0.05,1.49,Rate not different than Statewide Rate
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,All PCI,2016,1076,8,0.74,1.47,0.63,0.27,1.24,Rate significantly lower than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,Non-Emergency PCI,2010,177,0,0,0.23,0,0,4.53,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,All PCI,2016,1882,15,0.8,0.66,1.5,0.84,2.48,Rate not different than Statewide Rate
1304,NYU Langone Hosp.-Brooklyn,Kings,NY Metro - NYC,All PCI,2016,268,3,1.12,1.72,0.81,0.16,2.36,Rate not different than Statewide Rate
0511,NYU Winthrop Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2016,1102,10,0.91,1.28,0.87,0.42,1.61,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,All PCI,2015,778,10,1.29,0.77,1.9,0.91,3.49,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,Non-Emergency PCI,2010,37,0,0,0.65,0,0,7.77,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,2652,10,0.38,0.48,0.4,0.19,0.74,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,Non-Emergency PCI,2010,1840,10,0.54,0.44,0.63,0.3,1.16,Rate not different than Statewide Rate
1304,Lutheran Medical Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2010,270,1,0.37,0.38,0.5,0.01,2.77,Rate not different than Statewide Rate
0541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2016,2411,30,1.24,1.27,1.21,0.82,1.73,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2010,993,6,0.6,0.87,0.36,0.13,0.77,Rate not different than Statewide Rate
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,CABG,2015,196,2,1.02,1.56,1.02,0.11,3.69,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,Valve or Valve/CABG,2013-2015,340,12,3.53,4.09,2.62,1.35,4.57,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,Non-Emergency PCI,2010,615,3,0.49,0.39,0.64,0.13,1.87,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,Non-Emergency PCI,2010,521,5,0.96,0.49,1.01,0.32,2.35,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,4685,17,0.36,0.51,0.36,0.21,0.58,Rate not different than Statewide Rate
1637,NY Hospital - Queens,Queens,NY Metro - NYC,Non-Emergency PCI,2010,605,5,0.83,0.52,0.81,0.26,1.89,Rate not different than Statewide Rate
1306,NY Methodist Hospital,Kings,NY Metro - NYC,Non-Emergency PCI,2010,1390,3,0.22,0.48,0.23,0.05,0.67,Rate not different than Statewide Rate
1464,NYP- Columbia Presby.,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,2697,17,0.63,0.59,0.55,0.32,0.88,Rate not different than Statewide Rate
1458,NYP- Weill Cornell,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,1206,12,1,0.76,0.67,0.35,1.17,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,1128,2,0.18,0.43,0.21,0.02,0.76,Rate not different than Statewide Rate
0066,Olean General Hosp.,Western NY - Buffalo,Western NY - Buffalo,All PCI,2016,161,3,1.86,1.28,1.8,0.36,5.27,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,Non-Emergency PCI,2015,185,1,0.54,1.6,0.25,0,1.39,Rate not different than Statewide Rate
0699,Orange Regional Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2016,554,5,0.9,1.21,0.92,0.3,2.15,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,1741,11,0.63,0.58,0.81,0.4,1.45,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,313,2,0.64,0.91,0.52,0.06,1.87,Rate not different than Statewide Rate
1738,Richmond Univ Med Cntr,Staten Island,NY Metro - NYC,All PCI,2016,172,1,0.58,1.53,0.47,0.01,2.61,Rate not different than Statewide Rate
0411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2016,1500,19,1.27,1.19,1.32,0.79,2.06,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,All PCI,2015,180,0,0,1.19,0,0,1.94,Rate not different than Statewide Rate
0756,Samaritan Hospital,Capital District,Capital District,All PCI,2016,196,5,2.55,1.58,2,0.65,4.68,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Valve or Valve/CABG,2013-2015,309,9,2.91,3.64,2.43,1.11,4.61,Rate not different than Statewide Rate
1469,St. Lukes at St. Lukes,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,472,2,0.42,0.46,0.47,0.05,1.7,Rate not different than Statewide Rate
0818,Saratoga Hospital,Capital District,Capital District,All PCI,2016,76,1,1.32,1.1,1.48,0.02,8.23,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,Non-Emergency PCI,2010,997,7,0.7,0.49,0.73,0.29,1.51,Rate not different than Statewide Rate
0527,South Nassau Com. Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2016,464,5,1.08,1.39,0.96,0.31,2.23,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,All PCI,2015,302,1,0.33,1.5,0.25,0,1.4,Rate not different than Statewide Rate
0924,Southside Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2016,786,14,1.78,0.9,2.44,1.33,4.09,Rate significantly higher than Statewide Rate
1302,Univ. Brooklyn @ LICH,Kings,NY Metro - NYC,Non-Emergency PCI,2010,136,0,0,0.33,0,0,4.19,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,Non-Emergency PCI,2010,491,1,0.2,0.45,0.23,0,1.3,Rate not different than Statewide Rate
1176,St. Barnabas Hospital,Bronx,NY Metro - NYC,All PCI,2016,173,3,1.73,1.23,1.75,0.35,5.11,Rate not different than Statewide Rate
1304,NYU Langone Hosp.-Brooklyn,Kings,NY Metro - NYC,Non-Emergency PCI,2015,144,1,0.69,1.48,0.35,0,1.94,Rate not different than Statewide Rate
0943,St. Catherine of Siena,NY Metro - Long Island,NY Metro - Long Island,All PCI,2016,308,2,0.65,1.17,0.69,0.08,2.48,Rate not different than Statewide Rate
0598,St. Elizabeth Med Ctr,Central NY,Central NY,All PCI,2016,978,16,1.64,1.62,1.25,0.71,2.03,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2010,865,5,0.58,0.56,0.53,0.17,1.24,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2010,89,1,1.12,0.38,1.49,0.02,8.31,Rate not different than Statewide Rate
0563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2016,2731,30,1.1,1.18,1.15,0.78,1.65,Rate not different than Statewide Rate
0630,St. Josephs Hospital,Central NY,Central NY,All PCI,2016,1933,34,1.76,1.6,1.36,0.94,1.9,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,All PCI,2015,710,5,0.7,0.77,1.04,0.34,2.44,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,CABG,2010,125,3,2.4,1.3,2.92,0.59,8.54,Rate not different than Statewide Rate
1439,Beth Israel Med Ctr,Manhattan,NY Metro - NYC,CABG,2010,198,2,1.01,1.05,1.52,0.17,5.48,Rate not different than Statewide Rate
0694,St. Lukes Cornwall Hosp,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2016,365,4,1.1,1.48,0.92,0.25,2.35,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,CABG,2015,97,0,0,1.48,0,0,3.98,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,All PCI,2015,415,7,1.69,1.88,1.02,0.41,2.1,Rate not different than Statewide Rate
0005,St. Peters Hospital,Capital District,Capital District,All PCI,2016,916,13,1.42,1.37,1.28,0.68,2.19,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,All PCI,2016,750,6,0.8,0.85,1.16,0.42,2.52,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,CABG,2010,330,3,0.91,1.51,0.95,0.19,2.78,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,CABG,2010,168,0,0,1.36,0,0,2.53,Rate not different than Statewide Rate
0413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2016,1197,20,1.67,1.39,1.49,0.91,2.3,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,CABG,2010,263,7,2.66,1.69,2.49,1,5.14,Rate not different than Statewide Rate
0058,UHS-Wilson Med Ctr,Central NY,Central NY,All PCI,2016,736,8,1.09,1.45,0.93,0.4,1.83,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,TAVR,2013-2015,17,1,5.88,3.47,8.07,0.11,44.88,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,CABG,2010,209,2,0.96,1.77,0.86,0.1,3.09,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,CABG,2010,180,2,1.11,1.22,1.44,0.16,5.2,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,CABG,2010,321,5,1.56,1.14,2.16,0.7,5.05,Rate not different than Statewide Rate
1637,NY Hospital - Queens,Queens,NY Metro - NYC,CABG,2010,118,1,0.85,1.6,0.84,0.01,4.65,Rate not different than Statewide Rate
1306,NY Methodist Hospital,Kings,NY Metro - NYC,CABG,2010,101,1,0.99,1.93,0.81,0.01,4.51,Rate not different than Statewide Rate
1464,NYP- Columbia Presby.,Manhattan,NY Metro - NYC,CABG,2010,310,11,3.55,1.61,3.48,1.73,6.22,Rate significantly higher than Statewide Rate
1458,NYP- Weill Cornell,Manhattan,NY Metro - NYC,CABG,2010,183,0,0,1.66,0,0,1.91,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,CABG,2010,136,1,0.74,1.13,1.03,0.01,5.72,Rate not different than Statewide Rate
0135,UVM Health Network CVP,Capital District,Capital District,All PCI,2016,602,8,1.33,1.07,1.54,0.66,3.04,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,TAVR,2013-2015,452,33,7.3,4.78,7.26,4.99,10.19,Rate significantly higher than Statewide Rate
0471,Unity Hospital,Western NY - Rochester,Western NY - Rochester,All PCI,2016,344,15,4.36,1.92,2.81,1.57,4.63,Rate significantly higher than Statewide Rate
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,CABG,2015,387,8,2.07,2.06,1.56,0.67,3.08,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,All PCI,2016,328,6,1.83,2.11,1.07,0.39,2.34,Rate not different than Statewide Rate
1469,St. Lukes at St. Lukes,Manhattan,NY Metro - NYC,CABG,2010,102,2,1.96,2.09,1.49,0.17,5.37,Rate not different than Statewide Rate
0245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,All PCI,2016,1482,19,1.28,1.53,1.04,0.62,1.62,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,CABG,2010,309,6,1.94,1.66,1.85,0.68,4.03,Rate not different than Statewide Rate
0635,Univ. Hosp-Upstate,Central NY,Central NY,All PCI,2016,267,7,2.62,1.55,2.1,0.84,4.33,Rate not different than Statewide Rate
0181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2016,818,11,1.34,1.58,1.05,0.52,1.88,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,CABG,2010,46,0,0,1.61,0,0,7.85,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2016,374,7,1.87,1.99,1.16,0.47,2.4,Rate not different than Statewide Rate
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,946,5,0.53,0.82,0.48,0.15,1.12,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,CABG,2015,259,8,3.09,1.84,2.61,1.12,5.14,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,CABG,2010,288,3,1.04,2.05,0.8,0.16,2.35,Rate not different than Statewide Rate
1176,St. Barnabas Hospital,Bronx,NY Metro - NYC,All PCI,2015,164,4,2.44,1.03,2.69,0.72,6.9,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,TAVR,2013-2015,144,5,3.47,5.55,2.97,0.96,6.94,Rate not different than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,All PCI,2015,1721,12,0.7,1.01,0.79,0.41,1.37,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Emergency PCI,2008-2010,198,16,8.08,4.97,5.16,2.95,8.38,Rate not different than Statewide Rate
1439,Beth Israel Med Ctr,Manhattan,NY Metro - NYC,Emergency PCI,2008-2010,271,12,4.43,3.8,3.7,1.91,6.46,Rate not different than Statewide Rate
1178,Bronx-Lebanon-Cncourse,Bronx,NY Metro - NYC,Emergency PCI,2008-2010,103,7,6.8,3.15,6.84,2.74,14.09,Rate not different than Statewide Rate
1286,Brookdale Hosp Med Ctr,Kings,NY Metro - NYC,Emergency PCI,2008-2010,162,13,8.02,3.2,7.97,4.24,13.63,Rate significantly higher than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,Non-Emergency PCI,2015,903,10,1.11,0.64,1.28,0.61,2.36,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2016,526,6,1.14,1.35,1.04,0.38,2.27,Rate not different than Statewide Rate
0001,Albany Med. Ctr,Capital District,Capital District,Non-Emergency PCI,2016,503,12,2.39,1.14,1.75,0.9,3.06,Rate significantly higher than Statewide Rate
0116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,Non-Emergency PCI,2016,210,1,0.48,1,0.4,0.01,2.21,Rate not different than Statewide Rate
0746,Bassett Medical Center,Capital District,Capital District,Non-Emergency PCI,2016,460,5,1.09,0.82,1.1,0.36,2.57,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,Emergency PCI,2008-2010,345,5,1.45,2.72,1.69,0.55,3.95,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2016,366,2,0.55,1.08,0.42,0.05,1.52,Rate not different than Statewide Rate
1738,Richmond Univ Med Cntr,Staten Island,NY Metro - NYC,All PCI,2015,119,1,0.84,0.96,0.99,0.01,5.53,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,Emergency PCI,2008-2010,202,7,3.47,2.87,3.83,1.54,7.9,Rate not different than Statewide Rate
